date,open,high,low,close,volume,Name
08-02-2019,46.52,46.895,46.46,46.89,1232802,ABC
11-02-2019,46.85,47,46.5,46.76,1115888,ABC
12-02-2019,46.7,47.05,46.6,46.96,1318773,ABC
13-02-2019,46.74,46.9,46.6,46.64,2645247,ABC
14-02-2019,46.67,46.99,46.6,46.77,1941879,ABC
15-02-2019,46.77,47.09,46.51,46.6,2962354,ABC
19-02-2019,46.67,47.24,46.62,47.22,1831692,ABC
20-02-2019,47.22,47.39,46.59,46.61,1970391,ABC
21-02-2019,46.48,46.62,46.1633,46.48,1432331,ABC
22-02-2019,46.48,47.03,46.385,46.95,1003693,ABC
25-02-2019,47.1,47.25,46.18,46.18,1795053,ABC
26-02-2019,46.38,46.62,46.08,46.57,1374357,ABC
27-02-2019,46.66,47.21,46.58,47.03,855645,ABC
28-02-2019,46.96,47.51,46.81,47.2,2254042,ABC
01-03-2019,47.22,48.14,46.89,47.98,2135840,ABC
04-03-2019,47.83,48.25,47.66,48.25,2132714,ABC
05-03-2019,48.04,48.4,47.96,48.27,1646704,ABC
06-03-2019,48.44,48.8,48.27,48.48,1494635,ABC
07-03-2019,48.44,48.65,47.68,48.08,1785841,ABC
08-03-2019,48.27,48.51,47.97,48.48,1427447,ABC
11-03-2019,48.36,48.74,48.29,48.55,1495051,ABC
12-03-2019,48.52,48.85,48.44,48.65,1222544,ABC
13-03-2019,48.71,48.9,48.57,48.86,859108,ABC
14-03-2019,49,49.39,48.91,49.29,1810900,ABC
15-03-2019,49.14,49.245,48.82,48.89,2027539,ABC
18-03-2019,48.32,48.67,48.16,48.3,2602318,ABC
19-03-2019,51.39,52.15,49.92,50.06,17071639,ABC
20-03-2019,50.31,50.45,49.72,50.24,3204753,ABC
21-03-2019,50.11,50.54,49.56,49.79,2284953,ABC
22-03-2019,49.8,49.919,49.6,49.82,2891124,ABC
25-03-2019,49.95,50.95,49.84,50.59,3248101,ABC
26-03-2019,50.86,51.21,50.47,50.72,2428292,ABC
27-03-2019,50.51,50.9,50.33,50.71,2027985,ABC
28-03-2019,50.96,51.57,50.795,51.45,2836398,ABC
01-04-2019,51.38,51.659,51.29,51.64,1429459,ABC
02-04-2019,51.92,53.36,51.85,52.41,4047740,ABC
