date,open,high,low,close,volume,Name
08-02-2019,87.26,87.82,86.79,87.45,622210,AGN
11-02-2019,87.13,87.54,86.35,86.66,843497,AGN
12-02-2019,86.73,86.73,85.65,85.78,790472,AGN
13-02-2019,86.04,86.825,85.02,86.73,721733,AGN
14-02-2019,86.23,87.44,85,86.49,786394,AGN
15-02-2019,86.28,86.37,85.03,85.24,1281030,AGN
19-02-2019,87.4,87.7,84.39,84.81,2055372,AGN
20-02-2019,84.52,85.01,82.93,83.1,1285216,AGN
21-02-2019,82.7,84.03,82.02,83.75,2093454,AGN
22-02-2019,83.72,83.95,82.44,83.44,1292407,AGN
25-02-2019,83.52,85,83.14,83.14,1373402,AGN
26-02-2019,83.23,86.97,83.19,84.67,1479286,AGN
27-02-2019,84.9,86.22,84.9,85.88,950298,AGN
28-02-2019,85.94,86.2,85.16,85.16,1368397,AGN
01-03-2019,85.17,85.85,84.41,85.54,960380,AGN
04-03-2019,85.55,86.36,85.28,86.2,817487,AGN
05-03-2019,86.25,86.99,85.81,86.46,949716,AGN
06-03-2019,86.57,87.2,86.5401,86.86,1195866,AGN
07-03-2019,87.01,87.46,86.46,86.64,851995,AGN
08-03-2019,86.74,87.71,86.552,87.56,843365,AGN
11-03-2019,87.23,88.52,87.0401,88.37,1208445,AGN
12-03-2019,88.72,90.31,88.5,90.1,1519894,AGN
13-03-2019,89.95,92.33,89.73,91.58,1817605,AGN
14-03-2019,91.58,91.95,90.99,91.08,1230824,AGN
15-03-2019,90.72,92.12,90.26,91.59,1555875,AGN
18-03-2019,90.25,91.06,89.83,90.54,1026826,AGN
19-03-2019,90.79,90.97,89.2,89.8,955535,AGN
20-03-2019,89.84,90.21,89.305,89.86,894922,AGN
21-03-2019,89.84,90.48,89.51,90.12,1011419,AGN
22-03-2019,90.31,90.88,89.83,90.31,667287,AGN
25-03-2019,90.78,91.26,90.46,91.07,925702,AGN
26-03-2019,91.59,91.71,90.77,91.09,1149668,AGN
27-03-2019,90.83,91.29,90,91.07,862930,AGN
28-03-2019,91.13,92.3665,90.96,92.11,970089,AGN
01-04-2019,92.33,93.13,91.88,92.46,707998,AGN
02-04-2019,95,98.37,94.98,96.68,1509928,AGN
03-04-2019,96.48,96.48,94.35,95.27,1513016,AGN
04-04-2019,95.62,96.12,94.56,95.84,1003670,AGN
05-04-2019,95.19,97.41,94.75,97.19,1137783,AGN
08-04-2019,97.33,98.38,96.44,98.36,1064711,AGN
09-04-2019,98.46,98.46,97.43,97.71,1096961,AGN
10-04-2019,97.8,97.86,96.82,97.21,1040861,AGN
11-04-2019,97.25,98.13,97.15,97.76,801243,AGN
12-04-2019,97.47,98,97.17,97.33,516805,AGN
15-04-2019,97.31,97.8,96.01,96.03,823818,AGN
16-04-2019,96.45,97.01,96.15,96.97,609187,AGN
17-04-2019,96.51,97.96,96.26,97.73,960370,AGN
18-04-2019,97.61,98.25,96.52,96.68,610714,AGN
19-04-2019,96.95,98.63,96.72,98.48,706454,AGN
22-04-2019,98.4,98.95,97.81,97.85,633277,AGN
23-04-2019,98.48,99.55,98.08,98.77,924845,AGN
24-04-2019,99.06,99.35,98.09,98.28,623952,AGN
25-04-2019,98.7,99.52,98.48,98.89,598887,AGN
26-04-2019,99.03,101.459,99.03,100.94,1431316,AGN
29-04-2019,105.24,107.76,104.29,105.58,5715695,AGN
30-04-2019,105.52,106.0395,104.78,105.73,2061976,AGN
01-05-2019,105.24,105.68,103.75,104.39,2313569,AGN
02-05-2019,107.06,110.5,104.975,106.49,2467614,AGN
03-05-2019,106.64,107.084,105.98,106.46,1154164,AGN
06-05-2019,106.63,108.02,105.6,107.2,1018069,AGN
07-05-2019,107.66,108.14,106.52,107.22,1168612,AGN
08-05-2019,107.07,108.31,107.07,107.29,875070,AGN
09-05-2019,104.86,107.66,104.86,106.81,863187,AGN
10-05-2019,107.58,121.13,105.56,119.86,8052112,AGN
13-05-2019,119,121.56,117.64,120.52,3887784,AGN
14-05-2019,120.31,126.33,119.53,121.68,3721089,AGN
15-05-2019,121.65,125.5099,121.45,123.88,1815249,AGN
16-05-2019,124.25,126.53,123.44,123.61,2657537,AGN
17-05-2019,123.37,125.93,123.01,125.5,1415390,AGN
20-05-2019,127.8,131.24,126.63,127.15,7425049,AGN
21-05-2019,127.02,131.14,125.49,130.2,2762851,AGN
22-05-2019,129.75,133,128.72,130.04,3039476,AGN
23-05-2019,129.11,129.77,127.5,128.08,1786758,AGN
24-05-2019,127.9,128.12,125.95,127.23,1838986,AGN
28-05-2019,127.44,128.639,124.07,124.77,2308332,AGN
29-05-2019,123.92,124.31,121.71,122.62,1459346,AGN
30-05-2019,122.95,125.47,122.95,124.23,1056285,AGN
31-05-2019,124.2,125.5,123.23,123.29,1041080,AGN
03-06-2019,123.73,125.255,121.85,123.57,1364337,AGN
04-06-2019,123.79,123.84,119.91,119.91,1788970,AGN
05-06-2019,119.39,121.45,118.6835,120.34,2059962,AGN
06-06-2019,119.98,122.12,119.13,122,1199187,AGN
07-06-2019,122.36,124.12,121.69,124.12,848522,AGN
10-06-2019,124.43,125.12,123.16,125.04,1014921,AGN
11-06-2019,125.11,126.07,123.5,125.09,1205082,AGN
12-06-2019,125.46,126.02,123.53,123.79,812491,AGN
13-06-2019,123.51,126.65,122.64,126.46,1231374,AGN
14-06-2019,126.21,127.5,125.64,126.45,795170,AGN
17-06-2019,127.33,127.575,123.76,124.94,1260009,AGN
18-06-2019,125.22,126.27,124.44,125.67,621683,AGN
19-06-2019,125.42,125.69,123.21,123.71,868970,AGN
20-06-2019,122.7,123.23,119.69,120.22,1624322,AGN
21-06-2019,121.54,122.61,119.59,121.52,1723158,AGN
24-06-2019,120.78,121.8899,118.92,120.22,1202006,AGN
