date,open,high,low,close,volume,Name
08-02-2019,61.78,63.02,61.78,62.66,422698,ALB
11-02-2019,62.68,62.94,62.396,62.76,428135,ALB
12-02-2019,62.45,62.94,62.27,62.7,376294,ALB
13-02-2019,64.05,66.83,64.05,66.15,1949005,ALB
14-02-2019,65.85,65.99,65.2803,65.41,585215,ALB
15-02-2019,65.37,65.86,65.005,65.42,378709,ALB
19-02-2019,65.65,66.81,65.65,65.84,731004,ALB
20-02-2019,65.7,65.93,64.05,64.06,462893,ALB
21-02-2019,63.76,64.28,63.26,64.13,694751,ALB
22-02-2019,64.48,65.25,64.39,65,551208,ALB
25-02-2019,65.31,65.31,63.4,63.4,665187,ALB
26-02-2019,63.68,64.16,63.5,63.86,515534,ALB
27-02-2019,63.86,65.52,63.7901,65.22,244878,ALB
28-02-2019,65.21,65.72,65.08,65.08,350352,ALB
01-03-2019,64.41,64.65,63.38,64.29,718647,ALB
04-03-2019,64.1,64.48,63.32,63.59,704438,ALB
05-03-2019,64.01,64.76,63.46,63.56,1122305,ALB
06-03-2019,63.95,65.25,63.78,64.63,921401,ALB
07-03-2019,64.74,65.18,64.03,64.21,545882,ALB
08-03-2019,64.68,65.64,64.32,65.61,648898,ALB
11-03-2019,65.4,65.48,64.81,65.42,414934,ALB
12-03-2019,65.47,65.82,64.89,64.9,439199,ALB
13-03-2019,64.89,65.27,64.452,64.98,388519,ALB
14-03-2019,65.19,65.6,64.74,65.56,271626,ALB
15-03-2019,65.33,65.34,63.1,63.21,1321264,ALB
18-03-2019,62.35,62.8,62.08,62.44,1054495,ALB
19-03-2019,62.56,62.8,61.99,62.61,597358,ALB
20-03-2019,62.96,63.174,62.03,62.2,526110,ALB
21-03-2019,61.75,62.47,60.96,62.19,921928,ALB
22-03-2019,62.39,62.44,60.98,61.17,676910,ALB
25-03-2019,61.34,62.15,60.74,61.82,736999,ALB
26-03-2019,61.99,62.45,61.77,62.01,471656,ALB
27-03-2019,61.53,62.33,61.26,61.75,659656,ALB
28-03-2019,61.64,62.68,61.33,62.52,433746,ALB
01-04-2019,62.22,62.54,60.92,61.3,746831,ALB
02-04-2019,61.5,61.53,60.93,61.16,581202,ALB
03-04-2019,61.2,61.68,59.78,60.26,597836,ALB
04-04-2019,60.37,61.29,60.37,61.05,387344,ALB
05-04-2019,60.12,62.03,60.07,61.77,770088,ALB
08-04-2019,61.61,62.64,61.05,62.19,632790,ALB
09-04-2019,62.41,62.69,61.27,61.92,676151,ALB
10-04-2019,61.08,62.28,60.45,62.24,1076133,ALB
11-04-2019,62.34,63.27,61.86,61.93,937873,ALB
12-04-2019,61.9,62.0586,60.49,60.87,731143,ALB
15-04-2019,60.36,60.5,58.91,59.24,861128,ALB
16-04-2019,59.95,61.64,59.38,61.61,720546,ALB
17-04-2019,60.81,61.0899,60.02,60.24,950293,ALB
18-04-2019,58.96,58.99,57.01,57.75,2153156,ALB
19-04-2019,57.07,58.97,56.64,58.82,1527402,ALB
22-04-2019,58.79,59.48,57.94,58.99,772837,ALB
23-04-2019,59.25,59.66,58.81,59.12,843072,ALB
24-04-2019,59.35,59.91,58.79,59,1667862,ALB
25-04-2019,59.48,59.57,59.07,59.28,1122909,ALB
26-04-2019,59.4,59.62,58.485,58.86,610636,ALB
29-04-2019,58.98,59.67,58.74,59.47,845253,ALB
30-04-2019,59.65,61.25,59.25,61.25,1170529,ALB
01-05-2019,60.82,61.24,59.05,59.13,648361,ALB
02-05-2019,59.42,60,59.03,59.88,465633,ALB
03-05-2019,60.54,61.945,60.54,61.27,466003,ALB
06-05-2019,61.22,61.69,60.95,61.55,563832,ALB
07-05-2019,61.56,62.45,61.45,62.18,686447,ALB
08-05-2019,62,63.53,61.91,63.53,806793,ALB
09-05-2019,63.38,63.9,62.93,63.37,534306,ALB
10-05-2019,63.56,64.21,63.38,64.15,600781,ALB
13-05-2019,64.15,64.206,63.63,63.97,710222,ALB
14-05-2019,63.86,65,63.86,64.86,557012,ALB
15-05-2019,64.69,65.84,64.68,65.83,635821,ALB
16-05-2019,65.68,66.67,65.65,66.27,837121,ALB
17-05-2019,66.61,67.65,66.48,67.34,716299,ALB
20-05-2019,67.21,67.21,66,66.32,888480,ALB
21-05-2019,66.46,67.452,66.46,66.94,431369,ALB
22-05-2019,66.94,67.9584,66.02,66.43,442883,ALB
23-05-2019,65.61,66.62,65.01,66.61,600659,ALB
24-05-2019,66.22,66.6,66.08,66.44,439457,ALB
28-05-2019,67.32,67.77,67.19,67.75,781694,ALB
