date,open,high,low,close,volume,Name
08-02-2019,32.4,33.04,32.19,32.73,872084,ALGN
11-02-2019,32.56,33.07,32.5,33.03,999006,ALGN
12-02-2019,33.07,33.16,32.77,33.02,741444,ALGN
13-02-2019,32.96,33.15,32.49,32.75,1501927,ALGN
14-02-2019,32.76,32.9067,32.5,32.56,644916,ALGN
15-02-2019,32.84,32.84,32.45,32.73,728072,ALGN
19-02-2019,32.51,32.67,32.25,32.6,809676,ALGN
20-02-2019,32.38,32.92,31.71,31.73,711842,ALGN
21-02-2019,31.06,31.425,30.9521,31.41,1041999,ALGN
22-02-2019,31.49,32.05,31.02,31.88,687837,ALGN
25-02-2019,31.98,32.33,31.13,31.2,468359,ALGN
26-02-2019,31.31,31.43,30.97,31.05,545947,ALGN
27-02-2019,31.06,31.85,31.06,31.47,466138,ALGN
28-02-2019,31.35,31.66,31.24,31.44,460819,ALGN
01-03-2019,31.18,31.64,30.7,31.13,626883,ALGN
04-03-2019,31.12,31.16,30.67,30.99,493220,ALGN
05-03-2019,31.14,32.09,31.14,31.8,525049,ALGN
06-03-2019,31.91,32.47,31.91,32.44,690110,ALGN
07-03-2019,32.42,32.75,32.24,32.72,387164,ALGN
08-03-2019,32.99,33.3,32.44,33.29,621190,ALGN
11-03-2019,33.1,33.6,32.9,33.53,443661,ALGN
12-03-2019,33.44,33.67,32.81,32.96,572837,ALGN
13-03-2019,32.91,32.99,32.4908,32.88,480352,ALGN
14-03-2019,33.03,33.35,32.69,33.29,342476,ALGN
15-03-2019,33.35,33.5,32.46,33.04,966396,ALGN
18-03-2019,32.51,33,32.22,32.37,512278,ALGN
19-03-2019,32.38,32.85,31.84,32.29,475222,ALGN
20-03-2019,32.42,32.75,32.29,32.6,315859,ALGN
21-03-2019,32.26,32.59,31.72,32.03,423059,ALGN
22-03-2019,32.17,32.7,32.03,32.63,387719,ALGN
25-03-2019,32.69,33.25,32.65,32.87,546399,ALGN
26-03-2019,33,33.7,32.9,33.6,395257,ALGN
27-03-2019,33.4,33.7,33.285,33.32,357471,ALGN
28-03-2019,33.42,33.65,32.96,33.51,545439,ALGN
01-04-2019,33.4,33.84,32.24,32.44,736498,ALGN
02-04-2019,32.73,32.92,31.78,31.85,729258,ALGN
03-04-2019,31.83,32.23,30.09,30.95,2162432,ALGN
04-04-2019,30.94,31.51,30.45,31.5,1022539,ALGN
05-04-2019,30.9,31.21,30.54,31.04,508616,ALGN
08-04-2019,31.19,31.75,31.048,31.68,714515,ALGN
09-04-2019,31.75,32.16,31.5,31.88,577127,ALGN
10-04-2019,31.98,32.67,31.97,32.63,469519,ALGN
11-04-2019,32.5,33,32.42,32.86,476526,ALGN
12-04-2019,32.74,32.97,32.18,32.76,415221,ALGN
15-04-2019,32.44,32.71,31.17,31.2,890788,ALGN
16-04-2019,31.53,32.04,31.18,31.8,1163566,ALGN
17-04-2019,31.45,31.92,30.102,30.78,953361,ALGN
18-04-2019,30.9,30.95,29.72,30.13,1521950,ALGN
19-04-2019,29.56,32.08,29.53,31.5,3658394,ALGN
22-04-2019,31.54,32.19,30.89,32,1366766,ALGN
23-04-2019,31.91,32.34,31.46,31.99,1517676,ALGN
24-04-2019,31.87,32.49,31.41,32.04,833598,ALGN
25-04-2019,32.11,32.63,32.11,32.25,1502062,ALGN
26-04-2019,32.2,32.68,32.1,32.34,556387,ALGN
29-04-2019,32.38,32.96,32.23,32.93,815660,ALGN
30-04-2019,33,33.39,32.7,33.12,943134,ALGN
01-05-2019,32.88,33.11,32.38,32.65,1651114,ALGN
02-05-2019,32.76,33.22,32.34,32.4,1947238,ALGN
03-05-2019,32.74,33.08,32.47,32.6,1494369,ALGN
06-05-2019,32.58,35.65,32.15,34.42,2884994,ALGN
07-05-2019,34.7,35.68,34.37,35.63,2000231,ALGN
08-05-2019,35.62,35.94,35.32,35.91,645620,ALGN
09-05-2019,35.85,36.25,35.6,35.68,932812,ALGN
10-05-2019,35.85,37.05,35.85,36.87,1051333,ALGN
13-05-2019,36.61,37.64,36.49,37.07,995163,ALGN
14-05-2019,37.02,37.43,36.2,36.28,1439177,ALGN
15-05-2019,36.28,36.41,36.01,36.22,1088540,ALGN
16-05-2019,36.05,37.33,35.81,36.85,868995,ALGN
17-05-2019,36.96,37.88,36.96,37.59,1014213,ALGN
20-05-2019,37.42,38.0599,37.38,37.8,1052282,ALGN
21-05-2019,37.68,38.51,37.17,38.16,765384,ALGN
22-05-2019,38.15,38.74,37.17,37.3,763451,ALGN
23-05-2019,36.82,37.2028,36.29,36.98,507936,ALGN
24-05-2019,36.62,36.9899,36.15,36.7,254902,ALGN
28-05-2019,36.27,37.15,35.94,36.45,717304,ALGN
29-05-2019,36.09,36.33,35.625,35.97,587049,ALGN
30-05-2019,36.05,36.65,35.707,36.18,473862,ALGN
31-05-2019,36.03,36.49,35.74,35.75,381316,ALGN
03-06-2019,36.03,37.16,35.76,36.85,888380,ALGN
04-06-2019,37.15,37.35,35.68,35.88,624722,ALGN
05-06-2019,35.75,36.39,35.21,35.38,425305,ALGN
06-06-2019,35.37,35.4125,34.71,35.19,1036146,ALGN
07-06-2019,35.54,35.78,35.09,35.45,532098,ALGN
10-06-2019,35.52,35.66,35.125,35.29,536331,ALGN
11-06-2019,34.83,35.655,34.35,34.77,493682,ALGN
12-06-2019,35.13,35.13,34.11,34.22,562382,ALGN
13-06-2019,34.28,34.68,33.8401,34.67,963375,ALGN
14-06-2019,34.87,35.26,34.08,35.02,509589,ALGN
17-06-2019,35.49,36.17,35.49,35.87,366240,ALGN
18-06-2019,35.88,36.38,35.67,36.25,316064,ALGN
19-06-2019,36.1,36.58,35.9399,36.1,373206,ALGN
20-06-2019,35.51,36.395,35.23,35.48,427519,ALGN
21-06-2019,35.57,36.04,35.17,35.84,631777,ALGN
24-06-2019,35.29,36.22,34.875,35.77,605892,ALGN
25-06-2019,36.14,36.238,34.92,35.41,504677,ALGN
26-06-2019,35.65,36.18,35.096,35.78,1081454,ALGN
27-06-2019,36.01,36.96,35.74,36.69,748375,ALGN
28-06-2019,36.71,37.38,36.14,37.04,863105,ALGN
01-07-2019,37.01,38.5,37.01,37.79,709476,ALGN
02-07-2019,37.99,38.19,37.04,37.3,531754,ALGN
03-07-2019,37.02,38,36.92,37.78,329665,ALGN
05-07-2019,38.36,38.39,37.83,38.39,361012,ALGN
08-07-2019,38.5,38.74,38.08,38.42,600800,ALGN
09-07-2019,38.58,38.99,38.01,38.88,583815,ALGN
10-07-2019,39.06,39.61,38.24,39.19,1600414,ALGN
11-07-2019,39.79,39.805,39.03,39.4,503420,ALGN
12-07-2019,39.22,39.68,38.99,39.2,510363,ALGN
15-07-2019,39.11,39.3,38.69,38.7,535259,ALGN
16-07-2019,38.64,38.789,37.97,38.19,1191724,ALGN
17-07-2019,38.4,38.98,38.13,38.92,824709,ALGN
18-07-2019,39.15,40.5,38.55,39.65,1128428,ALGN
19-07-2019,43.79,44.43,41.25,42.95,3084778,ALGN
22-07-2019,43.06,44.25,42.39,44,1167263,ALGN
23-07-2019,43.67,44.31,43.27,44,765088,ALGN
24-07-2019,44,44.15,43.31,43.43,711297,ALGN
25-07-2019,43.35,43.88,43.17,43.88,460741,ALGN
26-07-2019,43.47,43.8,42.39,42.75,1061201,ALGN
29-07-2019,42.7,42.8699,42.19,42.34,505826,ALGN
30-07-2019,42.64,42.88,42.0501,42.45,459026,ALGN
31-07-2019,42.54,43.37,42.35,43.04,897824,ALGN
01-08-2019,43.23,44.04,42.81,43.99,747752,ALGN
02-08-2019,43.49,44.48,43.44,43.61,828857,ALGN
05-08-2019,43.5,44.48,43.455,44.42,733358,ALGN
06-08-2019,44.13,44.85,44.12,44.27,738624,ALGN
07-08-2019,44.27,44.43,43.63,43.83,524266,ALGN
