date,open,high,low,close,volume,Name
08-02-2019,23.995,24.435,23.94,24.335,1013314,ALK
11-02-2019,24.41,24.603,24.12,24.4,1124948,ALK
12-02-2019,24.405,24.56,24.27,24.43,1280160,ALK
13-02-2019,24.44,24.76,24.385,24.76,1146758,ALK
14-02-2019,24.665,24.68,24.15,24.355,1205950,ALK
15-02-2019,24.465,24.885,24.4425,24.49,1269776,ALK
19-02-2019,24.46,25.16,24.32,25.15,1416126,ALK
20-02-2019,25.105,25.335,24.58,24.625,1035072,ALK
21-02-2019,24.805,24.975,24.569,24.82,1193194,ALK
22-02-2019,24.965,25.405,24.9,25.4,1261080,ALK
25-02-2019,25.475,25.76,24.755,24.775,1452050,ALK
26-02-2019,24.93,25.1,24.55,24.995,1853386,ALK
27-02-2019,24.92,25.895,24.92,25.72,1560802,ALK
28-02-2019,25.75,25.98,25.645,25.775,1862334,ALK
01-03-2019,25.68,26.36,25.655,26.2,1695208,ALK
04-03-2019,26.26,27.31,26.045,27.265,2497134,ALK
05-03-2019,27.395,28.12,27.295,27.925,2577640,ALK
06-03-2019,28.085,28.27,27.64,27.84,1924238,ALK
07-03-2019,27.9,28.025,27.6651,28.015,1024744,ALK
08-03-2019,28.3,28.78,28.215,28.75,1817474,ALK
11-03-2019,28.56,28.725,28.385,28.555,1197840,ALK
12-03-2019,28.49,28.71,28.37,28.515,1223890,ALK
13-03-2019,28.715,29.94,28.715,29.73,2302204,ALK
14-03-2019,29.755,29.88,29.5,29.775,1690542,ALK
15-03-2019,29.765,29.875,29.4201,29.62,1886192,ALK
18-03-2019,29.415,30.395,29.06,30.29,1182484,ALK
19-03-2019,30.425,30.815,30.025,30.46,1299062,ALK
20-03-2019,30.675,31.53,30.47,31.5,1902124,ALK
21-03-2019,31.355,31.64,30.725,30.925,1201726,ALK
22-03-2019,31.065,31.495,30.97,31.425,1013922,ALK
25-03-2019,31.585,31.81,31.02,31.16,1385146,ALK
26-03-2019,31.3,31.74,31.16,31.395,1466220,ALK
27-03-2019,31.19,31.745,31.02,31.645,735250,ALK
28-03-2019,31.815,32.275,31.815,31.98,1245146,ALK
01-04-2019,31.875,32.25,31.67,31.8,1364848,ALK
02-04-2019,31.485,31.56,29.415,29.63,3937238,ALK
03-04-2019,29.735,30.15,28.63,28.91,2821904,ALK
04-04-2019,28.83,29.955,28.76,29.935,1438300,ALK
05-04-2019,29.23,29.71,28.355,29.685,1144604,ALK
08-04-2019,29.77,30.13,29.465,30.105,1329954,ALK
09-04-2019,30.365,30.42,29.45,29.525,1217096,ALK
10-04-2019,29.53,29.975,29.46,29.85,1566688,ALK
11-04-2019,29.815,30.205,29.56,29.69,1288974,ALK
12-04-2019,29.55,29.98,29.32,29.57,1191166,ALK
15-04-2019,29.53,29.8575,28.175,28.315,2257338,ALK
16-04-2019,29.125,30.675,28.915,30.56,3660580,ALK
17-04-2019,30.405,30.43,29.5,29.92,2121534,ALK
18-04-2019,29.905,29.9675,29.24,29.355,1479332,ALK
19-04-2019,29.405,30.4,29.07,30.175,1609044,ALK
22-04-2019,30.175,30.225,29.32,29.79,1374880,ALK
23-04-2019,29.845,30.845,29.63,30.57,1728282,ALK
24-04-2019,30.525,30.625,30.015,30.44,1374290,ALK
25-04-2019,30.645,31.065,30.055,30.12,1467854,ALK
26-04-2019,30.21,30.615,29.925,30.33,1351934,ALK
29-04-2019,30.34,30.775,30.34,30.58,1131864,ALK
30-04-2019,30.61,30.892,30.2918,30.82,1239604,ALK
01-05-2019,30.82,30.985,29.68,29.865,1651824,ALK
02-05-2019,30.05,30.425,29.785,30.35,970440,ALK
03-05-2019,30.67,31.425,30.565,31.365,1596672,ALK
06-05-2019,31.5,33.24,31.38,33.075,3252724,ALK
07-05-2019,33.24,33.8295,33.15,33.735,2261150,ALK
