date,open,high,low,close,volume,Name
08-02-2019,93.11,93.99,92.9,93.66,1059844,ALXN
11-02-2019,93.66,93.97,91.98,92.3,1707183,ALXN
12-02-2019,92.34,92.43,89.81,90.21,3115852,ALXN
13-02-2019,90.12,92.21,89.85,92.01,2496134,ALXN
14-02-2019,94.52,95.25,84.52,87.63,5936469,ALXN
15-02-2019,87.93,88.47,85.53,86.01,3690421,ALXN
19-02-2019,82.77,85.47,81.82,83.39,3996771,ALXN
20-02-2019,84.44,85.28,83.3,84.46,4062371,ALXN
21-02-2019,84.38,87.9785,83.62,87.28,3895591,ALXN
22-02-2019,87.28,87.8,86.93,87.44,2005904,ALXN
25-02-2019,87.19,87.89,86.18,86.29,1949996,ALXN
26-02-2019,86.41,86.75,85.17,85.36,2840012,ALXN
27-02-2019,85.31,87.32,84.465,86.54,1455350,ALXN
28-02-2019,86.24,87.75,86,86.74,1324733,ALXN
01-03-2019,86.74,87.07,86.09,86.77,1506792,ALXN
04-03-2019,86.69,89.93,86.11,89.9,2328466,ALXN
05-03-2019,90.17,91.9,90.03,91.01,2383043,ALXN
06-03-2019,91.21,93.5,91,93.181,2446183,ALXN
07-03-2019,92.7,93.17,91.46,92.24,1289377,ALXN
08-03-2019,92.69,92.99,90.76,91.06,1466183,ALXN
11-03-2019,90.8,92.35,90.46,91.67,1151039,ALXN
12-03-2019,91.58,92.01,90.69,91.75,998059,ALXN
13-03-2019,91.71,92.16,91,91.51,1060936,ALXN
14-03-2019,91.64,92.05,91.41,91.84,875456,ALXN
15-03-2019,91.41,94.41,91.41,93.66,2874530,ALXN
18-03-2019,92.41,94.35,91.22,93.64,1853697,ALXN
19-03-2019,93.58,94.06,91.93,92.74,1365757,ALXN
20-03-2019,93.51,94.48,92.79,93.88,1151819,ALXN
21-03-2019,92.99,93.8,91.85,92.34,834525,ALXN
22-03-2019,92.785,93.51,92.42,93.48,721307,ALXN
25-03-2019,93.54,94.09,91.82,92.35,816572,ALXN
26-03-2019,92.8,93.06,91.32,91.37,1115785,ALXN
27-03-2019,91.14,94.04,89.75,93.92,1489079,ALXN
28-03-2019,91.69,93,90.29,92.14,2555273,ALXN
01-04-2019,91.07,95.86,91.07,95.6,2536460,ALXN
02-04-2019,96.18,100.25,96,99.03,3116353,ALXN
03-04-2019,98.68,99.59,96.525,97.27,2286221,ALXN
04-04-2019,97.98,99.14,97.1,98.9,1720610,ALXN
05-04-2019,98.05,99.7,97.46,99.2,1501072,ALXN
08-04-2019,98.99,99.42,97.01,98.18,1066118,ALXN
09-04-2019,97.36,99.02,97.27,98.32,1099769,ALXN
10-04-2019,98.48,100.55,98.3,100.05,1394835,ALXN
11-04-2019,100.21,100.776,99.78,100.42,1013441,ALXN
12-04-2019,100.43,100.43,99.2801,100.1,1182475,ALXN
15-04-2019,99.71,100.04,96.09,96.22,1381089,ALXN
16-04-2019,97.38,97.38,95.52,96.2,1884500,ALXN
17-04-2019,95.84,95.85,93.83,94.75,1634836,ALXN
18-04-2019,94.72,94.72,91.43,92.02,1365403,ALXN
