date,open,high,low,close,volume,Name
08-02-2019,85.61,87.165,85.39,86.77,7888920,AMGN
11-02-2019,85.48,85.98,84.59,84.92,7538344,AMGN
12-02-2019,85,85.23,84.28,84.54,4655977,AMGN
13-02-2019,84.96,85.13,84.45,84.94,7943132,AMGN
14-02-2019,86,86.398,84.609,84.72,6189005,AMGN
15-02-2019,84.24,84.7199,83.32,83.61,5622197,AMGN
19-02-2019,83.51,84.27,82.92,84.131,5944265,AMGN
20-02-2019,84.37,85.34,84.24,84.65,6388286,AMGN
21-02-2019,84.59,85.32,84.15,85.13,4094108,AMGN
22-02-2019,85.07,86.88,85.07,86.82,4920383,AMGN
25-02-2019,89.3,91.25,89.3,89.55,11421682,AMGN
26-02-2019,89.63,90.21,88.66,89.47,4805195,AMGN
27-02-2019,89.15,91.3,89.06,91.03,3549796,AMGN
28-02-2019,91,93.42,90.87,91.55,6528557,AMGN
01-03-2019,91.16,92.76,90.51,92.58,4317624,AMGN
04-03-2019,92.11,92.75,91.5,92.73,3186645,AMGN
05-03-2019,93.11,93.76,92.56,93.44,3570108,AMGN
06-03-2019,93.82,94.29,93.09,93.27,3716274,AMGN
07-03-2019,93.43,93.88,92.82,92.95,2980007,AMGN
08-03-2019,93.4293,93.88,92.85,93,3084803,AMGN
11-03-2019,92.66,93.36,90.87,91.44,5699566,AMGN
12-03-2019,91.58,91.81,91.04,91.75,4997477,AMGN
13-03-2019,91.6,91.79,90.67,91.54,2606015,AMGN
14-03-2019,91.6528,92.29,91.15,92.18,3436357,AMGN
15-03-2019,91.84,92.16,91.26,91.808,10172673,AMGN
18-03-2019,91.27,91.36,90.35,90.39,3605821,AMGN
19-03-2019,90.68,92.52,90.54,92.4,4010846,AMGN
20-03-2019,92.92,94.89,92.875,94.05,4157701,AMGN
21-03-2019,93.65,94.31,93.47,94.31,3673992,AMGN
22-03-2019,94.69,96.6,94.1,96.56,4710502,AMGN
25-03-2019,96.92,97.52,96.01,96.81,5042037,AMGN
