date,open,high,low,close,volume,Name
08-02-2019,146.84,147.165,145.73,146.45,292176,AMG
11-02-2019,146.42,146.66,145.3,145.57,282470,AMG
12-02-2019,145.89,146.42,145.43,145.75,386947,AMG
13-02-2019,145.99,146.52,145.144,146.47,337315,AMG
14-02-2019,146.15,147.586,145.69,147.34,254905,AMG
15-02-2019,147.29,147.72,146.16,146.51,245691,AMG
19-02-2019,147,149.37,146.9,148.62,435917,AMG
20-02-2019,148.28,148.45,145.23,145.42,309353,AMG
21-02-2019,144.81,144.95,142.62,143.13,359586,AMG
22-02-2019,144.3,146.39,144.26,146.37,313111,AMG
25-02-2019,147.26,147.9,142.46,142.46,441359,AMG
26-02-2019,143.4,144.284,141.9,143.56,362452,AMG
27-02-2019,143.24,146.47,142.84,146.04,240146,AMG
28-02-2019,146.05,147.82,145.54,146.23,314694,AMG
01-03-2019,145.16,146.77,142.96,146.02,411088,AMG
04-03-2019,145.7,147.03,144.63,147.03,324047,AMG
05-03-2019,148.26,149.59,147.7,149.15,277823,AMG
06-03-2019,149.81,150.41,149.01,150.01,170328,AMG
07-03-2019,149.99,150.35,149.02,150.19,268681,AMG
08-03-2019,151,151.43,149.5018,151.17,363845,AMG
11-03-2019,151.07,151.07,149.75,150.79,513274,AMG
12-03-2019,151.54,151.55,149.405,150.04,305389,AMG
13-03-2019,152,154.66,150.1,154.49,582976,AMG
14-03-2019,154.88,156.095,154.12,155.18,661828,AMG
15-03-2019,155.09,155.22,153.58,154.41,918121,AMG
18-03-2019,152.94,154.77,151.74,153.74,346173,AMG
19-03-2019,153.89,154.78,150.68,151.86,318448,AMG
20-03-2019,152.92,154.21,152.15,153.95,242462,AMG
21-03-2019,152.31,152.75,150.05,150.44,250402,AMG
22-03-2019,151.33,151.67,150.35,151.49,206668,AMG
25-03-2019,152.28,152.86,150.524,151.54,342243,AMG
26-03-2019,152.21,152.3099,150.81,151.56,298818,AMG
27-03-2019,150.72,151.63,149.67,151.33,242836,AMG
28-03-2019,151.8,153.9,151.1101,153.57,247497,AMG
01-04-2019,153.41,154.48,151.48,152.05,275358,AMG
02-04-2019,152.89,153.13,151.76,152.38,180759,AMG
