date,open,high,low,close,volume,Name
08-02-2019,75.76,77.08,75.55,77.06,1941208,AMT
11-02-2019,76.81,76.88,76.25,76.38,1257077,AMT
12-02-2019,76.37,76.57,75.45,75.59,2150649,AMT
13-02-2019,75.64,75.7,73.59,74,4743922,AMT
14-02-2019,73.67,73.92,72.56,73.48,4252525,AMT
15-02-2019,73.67,75.26,73.56,75.18,3591375,AMT
19-02-2019,75.37,75.5,73.98,74.62,2622316,AMT
20-02-2019,74.53,74.74,73.92,73.95,2180067,AMT
21-02-2019,73.74,74.12,73.56,73.78,2294790,AMT
22-02-2019,74.2,74.99,74.15,74.52,2463945,AMT
25-02-2019,74.81,75.69,73.66,73.66,3727591,AMT
26-02-2019,73.9,75.78,73.8301,75.51,4046149,AMT
27-02-2019,75.51,78.09,75.265,77.4,4956898,AMT
28-02-2019,77.24,78.31,77.12,77.6,3004683,AMT
01-03-2019,77.54,78.19,77.27,78.13,2246594,AMT
04-03-2019,77.99,78.9,77.8,78.86,1470847,AMT
05-03-2019,79.32,79.35,78.32,78.65,1715033,AMT
06-03-2019,78.79,78.99,77.36,77.5,2074018,AMT
07-03-2019,77.33,77.88,77.17,77.56,1817627,AMT
08-03-2019,77.9,78.07,76.825,77.14,2024476,AMT
11-03-2019,77.13,77.47,76.59,76.9,1712503,AMT
12-03-2019,76.84,77.11,75.79,76.03,2455711,AMT
13-03-2019,75.98,76.34,75.76,76.12,2723082,AMT
14-03-2019,76.25,76.84,76.21,76.41,1643718,AMT
15-03-2019,76.05,76.13,75.26,75.56,2912670,AMT
18-03-2019,75.07,75.5,74.89,75.05,2249701,AMT
19-03-2019,75.23,75.32,73.91,74.53,2729162,AMT
20-03-2019,74.64,75.37,74.5515,75.32,1772519,AMT
21-03-2019,75.21,77.02,75.2,76.29,3337173,AMT
22-03-2019,76.51,77.07,76.29,76.73,1779178,AMT
25-03-2019,76.89,77.08,76.08,76.26,1847781,AMT
26-03-2019,76.62,76.96,75.81,75.89,2460207,AMT
27-03-2019,75.47,77.135,75.47,76.86,1741371,AMT
28-03-2019,76.91,77.21,76.2832,76.92,2010005,AMT
01-04-2019,76.97,77.75,76.6,77.75,1723385,AMT
02-04-2019,77.88,78.8699,77.68,78.73,2103893,AMT
03-04-2019,78.68,78.76,77.49,78.02,2315294,AMT
04-04-2019,78.16,78.87,78.16,78.58,1989111,AMT
