date,open,high,low,close,volume,Name
08-02-2019,56.01,56.56,55.88,56.53,2069181,AON
11-02-2019,56.47,56.72,56.2,56.66,1656442,AON
12-02-2019,56.62,56.82,56.335,56.7,2702710,AON
13-02-2019,56.76,57.44,56.5,57.28,1382960,AON
14-02-2019,57.18,57.53,57.05,57.3,1593327,AON
15-02-2019,57.29,57.38,56.82,57,2939778,AON
19-02-2019,57.1,57.92,57.1,57.91,2695460,AON
20-02-2019,58.02,59.44,58.01,59.02,3457707,AON
21-02-2019,58.81,59.5,58.6,59.42,3668478,AON
22-02-2019,59.6,60.85,59.39,60.79,3669035,AON
25-02-2019,60.9,61.48,59.45,59.45,2869498,AON
26-02-2019,60.32,60.55,59.2,60.05,3195318,AON
27-02-2019,60.2,60.945,59.97,60.83,2828277,AON
28-02-2019,60.93,61.87,60.7102,61.09,3514598,AON
01-03-2019,60.8,61.05,60.3,60.89,2513651,AON
04-03-2019,60.05,60.66,59.86,60.49,2692613,AON
05-03-2019,60.82,61.03,60.705,60.75,1982785,AON
06-03-2019,61,61,60.28,60.34,1880696,AON
07-03-2019,60.35,60.69,60.06,60.29,4026119,AON
08-03-2019,60.62,60.62,59.985,60.21,6544137,AON
11-03-2019,60.2,60.23,59.88,60.1,3254552,AON
12-03-2019,60.05,60.1,59.56,59.64,2566586,AON
13-03-2019,59.83,59.83,59.48,59.7,2180243,AON
14-03-2019,59.73,60.08,59.705,60.03,2860557,AON
15-03-2019,59.67,60.03,59.55,59.9,2836482,AON
18-03-2019,59.21,59.47,58.815,58.96,4084151,AON
19-03-2019,59,59.22,58.66,59.01,3063738,AON
20-03-2019,59.05,59.79,58.97,59.71,4131909,AON
21-03-2019,59.48,59.89,59.38,59.45,2504373,AON
22-03-2019,59.64,60.31,59.56,60.27,1702533,AON
25-03-2019,60.46,61.22,60.19,61.16,2515891,AON
26-03-2019,61.41,61.84,61.1,61.82,1884920,AON
27-03-2019,61.36,61.635,61.05,61.5,1332181,AON
28-03-2019,61.6,61.82,61.4,61.5,1741420,AON
01-04-2019,61.35,61.84,60.97,61.1,1280891,AON
02-04-2019,61.39,61.76,61.235,61.44,984004,AON
03-04-2019,61.48,61.65,60.43,60.45,1565193,AON
04-04-2019,60.65,61.08,60.39,60.67,1038054,AON
05-04-2019,59.9,60.31,59.65,60.27,1270138,AON
08-04-2019,59.94,60.63,59.94,60.61,774360,AON
09-04-2019,60.71,61.07,60.33,60.9,1264638,AON
10-04-2019,61.07,61.55,60.835,61.53,1203441,AON
11-04-2019,61.59,63.07,61.59,62.66,2257703,AON
12-04-2019,62.44,62.66,62.13,62.62,847282,AON
15-04-2019,62.56,62.75,61.49,61.49,1630819,AON
16-04-2019,61.78,62.16,61.5,62.11,1501204,AON
17-04-2019,61.64,61.87,60.61,60.67,2470859,AON
18-04-2019,60.56,60.86,59.5,59.67,1940062,AON
19-04-2019,59.83,60.205,59.64,60.15,1910111,AON
22-04-2019,60.26,60.81,60.16,60.6,1503697,AON
23-04-2019,60.69,61.16,60.6,61.13,1463634,AON
24-04-2019,61.31,61.715,61.09,61.16,915498,AON
25-04-2019,61.23,61.56,61.16,61.29,1495521,AON
26-04-2019,61.11,61.11,58.48,59,3263841,AON
29-04-2019,59.07,59.9,58.84,59.67,1493874,AON
30-04-2019,59.61,60.39,59.45,60.35,2343535,AON
01-05-2019,60.38,61.61,60.21,61.3,2670930,AON
02-05-2019,61.38,62.5,61.06,62.44,2213369,AON
03-05-2019,62.94,63.4,62.71,63.31,1865097,AON
06-05-2019,63.15,63.53,63.06,63.5,2423294,AON
07-05-2019,63.5,63.87,63.33,63.71,1953175,AON
08-05-2019,63.77,64.95,63.671,64.8,2516174,AON
09-05-2019,64.76,64.99,64.37,64.47,2296140,AON
10-05-2019,64.49,64.93,64.3,64.5,1452120,AON
13-05-2019,64.28,65.56,64.28,65.54,1573508,AON
14-05-2019,65.42,66.08,65.3825,65.92,1622663,AON
15-05-2019,65.78,66.495,65.7,66.44,1260265,AON
16-05-2019,66.19,66.58,66.11,66.22,1557890,AON
17-05-2019,66.46,66.73,66.19,66.29,1721919,AON
20-05-2019,66.17,66.63,65.83,66.11,1425843,AON
21-05-2019,65.89,66.44,65.89,66.18,1041268,AON
22-05-2019,66.12,66.59,65.56,65.75,1531571,AON
23-05-2019,65.09,65.49,64.76,65.26,1863919,AON
24-05-2019,65.04,65.765,64.8501,65.73,1642935,AON
28-05-2019,66.1,66.7,65.94,66.03,1480192,AON
29-05-2019,65.59,66.74,65.24,66.3,2410641,AON
30-05-2019,66.29,67.26,66.17,66.41,1427618,AON
31-05-2019,65.88,66.33,63.64,63.67,4336410,AON
03-06-2019,63.69,64.26,62.94,63.72,2166040,AON
04-06-2019,63.74,63.96,62.9,63.08,1469928,AON
05-06-2019,63.02,63.385,62.735,62.91,1342737,AON
06-06-2019,62.94,64.05,62.64,64.03,1129470,AON
07-06-2019,64.73,65.61,64.54,65.55,1756071,AON
10-06-2019,65.61,65.76,64.93,65.17,1420833,AON
11-06-2019,64.7,65.57,64.03,65.2,1041849,AON
12-06-2019,65.61,65.61,64.81,64.84,941243,AON
13-06-2019,64.85,65.72,64.52,65.53,1287536,AON
14-06-2019,65.54,65.7,64.83,64.89,1113181,AON
17-06-2019,65.19,65.73,64.915,65.38,1377867,AON
