date,open,high,low,close,volume,Name
08-02-2019,84.13,85.18,84.11,84.65,2181859,APA
11-02-2019,84.81,85.47,83.73,83.81,2207403,APA
12-02-2019,84.06,84.43,83.33,84.18,2735842,APA
13-02-2019,84.18,84.43,83.7,84.33,3168636,APA
14-02-2019,83.72,84,80.11,80.33,8653948,APA
15-02-2019,80.08,80.16,76.61,76.85,10830529,APA
19-02-2019,76.84,77.36,76.27,77.3,5854522,APA
20-02-2019,77.22,77.26,75.41,75.48,5908765,APA
21-02-2019,75.2,75.64,74.48,75.11,4569254,APA
22-02-2019,75.42,75.85,74.78,75.4,2984091,APA
25-02-2019,76.04,76.04,73.25,73.25,3972365,APA
26-02-2019,73.69,74.19,72.62,73.56,4187541,APA
27-02-2019,73.35,74.8,73.35,74.38,3952579,APA
28-02-2019,74.26,74.8,73.845,74.27,3508393,APA
01-03-2019,73.56,74.12,72.76,73.75,3794127,APA
04-03-2019,73.45,73.85,72.2,72.73,4529277,APA
05-03-2019,73.21,73.44,72.72,72.85,3305402,APA
06-03-2019,73.38,73.77,73.01,73.55,3090688,APA
07-03-2019,74.51,76.48,74.24,75.65,5420042,APA
08-03-2019,76.06,76.17,75.42,75.65,2493947,APA
11-03-2019,75.43,75.73,74.51,75.51,2730073,APA
12-03-2019,75.53,75.87,75.16,75.27,2289670,APA
13-03-2019,75.18,75.6,75.07,75.28,1938732,APA
14-03-2019,75.45,75.99,75.23,75.48,2648031,APA
15-03-2019,75.13,76.24,74.7,75.68,4665624,APA
18-03-2019,74.68,76.34,74.67,75.72,3283512,APA
19-03-2019,75.78,75.91,74.14,74.66,2835770,APA
20-03-2019,75.27,75.53,74.345,75.37,2579626,APA
21-03-2019,74.91,75.33,74.12,74.15,2885996,APA
22-03-2019,74.48,75.25,74.23,74.47,2936194,APA
25-03-2019,74.65,75.15,74.29,74.63,2806704,APA
26-03-2019,75.05,75.21,74.3,74.4,3880051,APA
27-03-2019,74.01,75.98,73.675,75.93,4416315,APA
28-03-2019,75.93,78.08,75.86,77.16,6026028,APA
01-04-2019,77.21,77.245,75.7,76.71,2755770,APA
02-04-2019,76.87,76.87,75.84,76.16,2567054,APA
03-04-2019,76.07,76.09,74.4,74.85,3144492,APA
04-04-2019,74.96,75.65,74.4,75,2450017,APA
05-04-2019,74.1,74.79,73.58,74.2,3406031,APA
08-04-2019,74.2,74.765,73.97,74.64,2177537,APA
09-04-2019,74.6,75.8701,74.03,75.49,2359485,APA
10-04-2019,75.75,76.12,75.24,75.63,2509320,APA
11-04-2019,75.89,76.78,75.69,76.52,2978022,APA
12-04-2019,75.95,76.02,74.99,75.09,3672666,APA
15-04-2019,74.34,74.52,72.59,72.62,3982657,APA
16-04-2019,73.38,74,70.52,72.05,5597971,APA
17-04-2019,71.41,72,70.6,71.45,5052741,APA
18-04-2019,70.18,71.05,69.85,70.82,4833728,APA
19-04-2019,71.25,71.3,68.57,68.84,5657405,APA
22-04-2019,69.12,69.45,67.91,69.21,3213165,APA
23-04-2019,69.5,70.77,69.17,70.46,3528490,APA
24-04-2019,70.82,71.49,70.52,71.34,3159010,APA
25-04-2019,71.61,73.26,71.12,72.48,3699054,APA
26-04-2019,72.57,72.69,71.4,72.27,2107150,APA
29-04-2019,72.63,73.665,71.71,73.16,2172587,APA
30-04-2019,73.55,73.94,72.41,73.88,3337882,APA
01-05-2019,73.45,73.88,72.53,73.42,3278457,APA
02-05-2019,73.68,73.97,72.51,73.8,2391744,APA
03-05-2019,74.3,75.91,74.3,75.24,2591334,APA
06-05-2019,75.25,76.34,75.01,76.02,2211271,APA
07-05-2019,76.51,77.58,76.31,76.7,2843916,APA
08-05-2019,76.8,77.83,76.1,77.76,3701980,APA
