date,open,high,low,close,volume,Name
05-12-2023,88.89,89.66,86.16,88.77,3522147,APTV
06-12-2023,88.44,89.64,85.18,85.36,2692557,APTV
07-12-2023,84.8,85.42,83.87,84.38,2962311,APTV
08-12-2023,84.96,85.93,84.23,85.22,2677552,APTV
11-12-2023,86.3,86.94,85.04,85.89,3697224,APTV
12-12-2023,86.61,86.62,85.38,85.67,2630578,APTV
13-12-2023,85.99,86.07,83.44,83.56,2130947,APTV
14-12-2023,84.13,84.63,82.97,83.05,2042428,APTV
15-12-2023,83.92,84.48,83.42,84.4,2947483,APTV
18-12-2023,85.24,85.47,84.13,84.24,1676089,APTV
19-12-2023,84.905,86.91,84.65,85.62,2233932,APTV
20-12-2023,85.82,86.39,85.3,85.87,1646447,APTV
21-12-2023,86.78,86.79,84.88,84.98,1661784,APTV
22-12-2023,84.7,85.19,84.16,84.79,907072,APTV
26-12-2023,84.64,85.12,84.46,84.88,335650,APTV
27-12-2023,85.03,85.47,84.61,84.73,691896,APTV
28-12-2023,85.03,85.59,84.72,85.56,965728,APTV
29-12-2023,85.65,85.97,84.83,84.83,884818,APTV
02-01-2024,84.89,86.454,84.5,86.11,1469923,APTV
03-01-2024,86.09,87.86,85.73,87.54,1542261,APTV
04-01-2024,87.94,89.42,87.94,88.91,1708544,APTV
05-01-2024,89.8,91.71,89.5175,91.57,2271147,APTV
08-01-2024,92.5,92.97,91.12,91.93,1791062,APTV
09-01-2024,92.29,93.69,92.23,92.75,2765617,APTV
10-01-2024,92.19,92.44,90.18,90.46,2333864,APTV
11-01-2024,90.56,92.27,90.14,92.06,2031599,APTV
12-01-2024,92.33,93.2931,92.06,92.91,1401989,APTV
16-01-2024,93.96,94.02,92.19,92.56,2331889,APTV
17-01-2024,92.38,94.18,91.93,93.56,2119459,APTV
18-01-2024,93.92,94,92.45,93.1,1450126,APTV
19-01-2024,93.47,94.04,92.74,93.52,2515335,APTV
22-01-2024,94.09,94.38,92.18,93.55,1893389,APTV
23-01-2024,93.23,93.55,92.32,92.83,1489794,APTV
24-01-2024,93.71,94.69,92.87,93.54,1944175,APTV
25-01-2024,94,94.34,92.07,92.49,1851534,APTV
26-01-2024,93.17,94.74,92.75,94.48,2662855,APTV
29-01-2024,95.23,95.47,94.16,94.89,3313098,APTV
30-01-2024,94.41,95.27,93.99,94.63,1490160,APTV
31-01-2024,95.26,95.97,94.14,94.88,3162947,APTV
01-02-2024,90.83,96.91,90.8,96.02,2753387,APTV
02-02-2024,95.8,95.985,94.11,94.21,2546866,APTV
05-02-2024,93.88,95.625,91.01,91.14,2658375,APTV
06-02-2024,89.81,93.39,88.91,92.6,3273314,APTV
07-02-2024,92.53,95.345,92.2395,93.69,1868427,APTV
