date,open,high,low,close,volume,Name
08-02-2019,72.72,72.72,72.2,72.62,447039,ARE
11-02-2019,72.74,73.18,72.66,72.73,352801,ARE
12-02-2019,73.38,73.495,72.79,72.79,409155,ARE
13-02-2019,72.8,73.1,72.29,72.36,429597,ARE
14-02-2019,72.31,72.36,71.42,71.56,762407,ARE
15-02-2019,71.68,72.01,70.97,71.62,964380,ARE
19-02-2019,71.6,72.15,71.58,71.92,460009,ARE
20-02-2019,72.01,72.48,71.4,71.86,1001007,ARE
21-02-2019,71.75,71.85,71.2,71.43,523086,ARE
22-02-2019,71.87,72.26,71.75,72.12,270236,ARE
25-02-2019,72.19,72.235,70.55,70.58,363643,ARE
26-02-2019,70.97,71.155,70.07,70.88,297370,ARE
27-02-2019,70.8,71.52,70.5,71.24,262815,ARE
28-02-2019,71.03,71.6,71.02,71.14,476029,ARE
01-03-2019,70.85,71.37,70.2,71.01,429874,ARE
04-03-2019,70.89,71.9448,70.68,71.85,406274,ARE
05-03-2019,71.69,72.52,71.69,72.52,234257,ARE
06-03-2019,72.84,72.84,71.78,72.29,261233,ARE
07-03-2019,72.41,72.72,71.975,72.25,295801,ARE
08-03-2019,72.48,72.53,71.79,71.97,306834,ARE
11-03-2019,71.9,72.31,71.52,72.29,307848,ARE
12-03-2019,72.06,72.21,71.61,72.03,313389,ARE
13-03-2019,72.15,72.3,71.76,71.82,274591,ARE
14-03-2019,71.72,72.31,71.45,71.51,370035,ARE
15-03-2019,71.71,71.72,71.27,71.41,709748,ARE
18-03-2019,71.09,71.5,70.81,70.91,602031,ARE
19-03-2019,71.05,71.24,70.49,71,251065,ARE
20-03-2019,71.22,71.26,70.7,71.03,266920,ARE
21-03-2019,70.65,71.56,70.65,71.34,427325,ARE
22-03-2019,71.56,71.93,71.41,71.61,299940,ARE
25-03-2019,71.86,71.89,71.21,71.43,244252,ARE
26-03-2019,71,71.61,70.87,71.49,249351,ARE
27-03-2019,71,71,70.2,70.86,552666,ARE
28-03-2019,70.97,71.18,70.71,70.98,456935,ARE
01-04-2019,70.71,71.09,70.54,70.87,308591,ARE
02-04-2019,71.03,71.38,70.595,70.67,336023,ARE
03-04-2019,70.84,71.15,70,70.21,333509,ARE
04-04-2019,70.49,70.74,70.1525,70.61,879776,ARE
05-04-2019,70.09,70.67,69.68,70.59,654539,ARE
08-04-2019,70.76,71.65,70.41,71.65,625602,ARE
09-04-2019,71.62,71.79,70.87,71.42,309990,ARE
10-04-2019,71.63,71.88,71.5,71.59,415503,ARE
11-04-2019,71.6,72.46,71.6,72.09,374865,ARE
12-04-2019,71.91,72.24,71.73,72.24,342190,ARE
15-04-2019,71.89,72.245,70.71,70.89,602577,ARE
16-04-2019,71.38,71.45,70.7,71.45,447869,ARE
17-04-2019,71,71.36,70.03,70.43,427019,ARE
18-04-2019,70.53,70.53,70.0025,70.33,283241,ARE
19-04-2019,70.35,71.53,70.17,71.24,567477,ARE
22-04-2019,71.17,71.37,70.64,70.8,276140,ARE
23-04-2019,71.17,71.61,70.93,71.58,589754,ARE
24-04-2019,71.41,71.9,71.4,71.58,458754,ARE
25-04-2019,71.53,71.845,70.9,71,444437,ARE
26-04-2019,71.1,71.1,70.09,70.55,607664,ARE
29-04-2019,70.85,71.52,70.48,71.49,567097,ARE
30-04-2019,71.12,72.77,70.77,72.77,638158,ARE
01-05-2019,72.3,73.04,72.2541,72.63,469186,ARE
02-05-2019,72.58,73.59,72.525,73.15,376070,ARE
03-05-2019,73.4,74.01,73.26,73.42,570945,ARE
06-05-2019,73.61,73.72,73.22,73.63,481299,ARE
07-05-2019,73.55,74.39,73.55,74.28,424260,ARE
08-05-2019,73.99,75.3,73.99,75.3,553748,ARE
09-05-2019,75.22,75.41,74.83,75.27,941864,ARE
10-05-2019,75.21,75.64,74.85,75.4,446942,ARE
13-05-2019,75.4,75.63,75.1735,75.63,415926,ARE
14-05-2019,74.39,77.54,74.25,77.4,4649088,ARE
15-05-2019,77.08,78.11,76.62,78.09,1098748,ARE
16-05-2019,78.07,78.4292,77.49,77.8,801318,ARE
17-05-2019,77.86,78.13,77.13,77.31,633793,ARE
20-05-2019,77.02,77.26,76.83,77.2,634889,ARE
