date,open,high,low,close,volume,Name
17-07-2017,75,75,70,70,33982,BHF
18-07-2017,70.5,72,69.92,70,35719,BHF
19-07-2017,67.92,69.51,67.8,68.95,1805,BHF
20-07-2017,69.7489,70,69,69,28390,BHF
21-07-2017,70,70,68.56,68.9226,1562,BHF
24-07-2017,69,69.29,69,69,4650,BHF
25-07-2017,69.1461,69.1461,68.95,69.0842,1362,BHF
26-07-2017,,,,69.0842,3,BHF
27-07-2017,69.25,69.25,68,68,12970,BHF
28-07-2017,67.26,67.26,67.26,67.26,101,BHF
31-07-2017,67.7,67.7,65.28,66,19079,BHF
01-08-2017,66.65,66.86,66.23,66.25,26784,BHF
02-08-2017,65.98,66.06,64.83,64.89,112432,BHF
03-08-2017,65,65.5,63.5,64,34296,BHF
04-08-2017,64.94,65.05,64.44,64.57,335368,BHF
07-08-2017,62.75,62.85,60.58,61.72,11208105,BHF
08-08-2017,61.06,61.5,56.59,56.9,4124459,BHF
09-08-2017,56.01,57.12,54.94,56.72,4514392,BHF
10-08-2017,56.55,59.49,55.9999,58.5,3231812,BHF
11-08-2017,58.1,58.4842,57.04,57.97,1751524,BHF
14-08-2017,57.42,58.53,57,57.36,2391833,BHF
15-08-2017,57.48,59,57.11,58.01,1815953,BHF
16-08-2017,57.51,58.72,56.97,57.5,3090574,BHF
17-08-2017,57.05,57.58,55.16,55.97,1922733,BHF
18-08-2017,55.69,57.92,55.18,57.45,2680992,BHF
21-08-2017,57,57.94,56.62,56.86,1482007,BHF
22-08-2017,56.92,57.8,56.57,57.21,1202553,BHF
23-08-2017,56.76,57.29,56.24,56.65,1272269,BHF
24-08-2017,56.39,56.64,55.11,55.32,1312191,BHF
25-08-2017,55.53,56.63,54.9,55.54,1080305,BHF
28-08-2017,55.78,55.975,55.16,55.34,720494,BHF
29-08-2017,55.25,55.87,54.7701,55.76,1221183,BHF
30-08-2017,55.48,57.47,55.35,57.1,1200353,BHF
31-08-2017,57.06,57.4,56.21,57.07,1722761,BHF
01-09-2017,56.9,57.98,56.36,57.49,945958,BHF
05-09-2017,57.19,57.19,53.69,54.08,2855653,BHF
06-09-2017,54.33,54.59,52.94,53.18,1781390,BHF
07-09-2017,53.36,53.68,52.751,53,1359607,BHF
08-09-2017,53,54.592,52.95,54.54,1039377,BHF
11-09-2017,55.08,56,54.83,55.11,1125997,BHF
12-09-2017,55.11,55.98,54.53,55.19,1339437,BHF
13-09-2017,54.91,55.4,54.77,55.35,848884,BHF
14-09-2017,55.12,55.69,54.95,55.62,1115182,BHF
15-09-2017,55.5,56.59,55.24,56.56,1680274,BHF
18-09-2017,56.75,57.4,56.4063,57.21,1086316,BHF
19-09-2017,57.09,57.31,56.77,56.93,989375,BHF
20-09-2017,56.55,57.54,56.5,57.49,723273,BHF
21-09-2017,57.28,58.0635,57.15,57.68,655886,BHF
22-09-2017,57.06,58.55,56.81,58.35,903265,BHF
25-09-2017,57.8,58.94,57.45,58.68,924909,BHF
26-09-2017,58.99,60.84,58.501,60.64,946396,BHF
27-09-2017,60.68,61.92,60.28,61.29,1263464,BHF
28-09-2017,61.2,61.2,59.34,60.43,1219296,BHF
29-09-2017,60.16,61.13,60.16,60.8,628050,BHF
02-10-2017,60.75,61.05,59.92,60.99,896445,BHF
03-10-2017,60.71,60.815,59.33,60.22,999217,BHF
04-10-2017,60.26,60.44,59.41,59.48,745406,BHF
05-10-2017,59.45,60.7,59.42,60.57,557450,BHF
06-10-2017,60.7,61.3,60.48,61.02,784127,BHF
09-10-2017,60.85,60.98,60.06,60.12,582895,BHF
10-10-2017,60.31,60.49,59.4,60.1,1434902,BHF
11-10-2017,60.2,60.78,59.36,60.67,637532,BHF
12-10-2017,60.33,60.75,60.081,60.43,457741,BHF
13-10-2017,60.35,60.42,59.78,60.4,489287,BHF
16-10-2017,60.3,60.84,59.81,60.24,607320,BHF
17-10-2017,60.32,60.66,60,60.63,520443,BHF
18-10-2017,60.57,60.83,60.24,60.71,402554,BHF
19-10-2017,60.35,61.21,60.04,61.2,654721,BHF
20-10-2017,61.25,62.5499,61.14,62.12,755984,BHF
23-10-2017,62.06,62.35,61.55,61.73,473334,BHF
24-10-2017,62.11,62.9,61.7125,62.54,849335,BHF
25-10-2017,62.31,63,61.8192,62.06,1028645,BHF
26-10-2017,61.95,63.24,61.61,63.19,550698,BHF
27-10-2017,62.95,63.66,62.85,63.63,482458,BHF
30-10-2017,63.2,63.47,62.43,62.46,825565,BHF
31-10-2017,62.93,62.95,61.78,62.18,973871,BHF
01-11-2017,62.15,62.84,61.61,62.05,645672,BHF
02-11-2017,57.49,60.19,57.15,59.23,2231031,BHF
03-11-2017,59.34,59.45,57.4,57.82,1463337,BHF
06-11-2017,57.49,58.28,55.93,56.66,1140685,BHF
07-11-2017,56.32,57.02,55.8,56.95,1265932,BHF
08-11-2017,56.58,56.81,55.88,56.29,590055,BHF
09-11-2017,56.14,56.79,56.02,56.5,711822,BHF
10-11-2017,56.16,56.72,56.08,56.58,531027,BHF
13-11-2017,56.04,56.52,55.71,55.99,937027,BHF
14-11-2017,55.68,55.88,55.11,55.38,1077870,BHF
