date,open,high,low,close,volume,Name
08-02-2019,236.64,238.6924,235.75,238.16,552207,BLK
11-02-2019,238.18,239.92,237.31,239.45,931857,BLK
12-02-2019,239,241.02,238.73,238.86,1094867,BLK
13-02-2019,240.2,243.03,239.75,242.52,985944,BLK
14-02-2019,242.37,245.65,242.36,245.57,895404,BLK
15-02-2019,246.75,247,242.37,242.95,1000986,BLK
19-02-2019,243.42,245.36,242.66,244.12,1005598,BLK
20-02-2019,243.54,243.98,239,239.12,741102,BLK
21-02-2019,238.16,238.5,235.3,236.22,955037,BLK
22-02-2019,238,240.88,238,240.87,836607,BLK
25-02-2019,242.7,243.6642,236.5,236.5,793574,BLK
26-02-2019,238.09,239.21,234.34,236.15,876756,BLK
27-02-2019,236.03,241.63,235.05,241.07,520317,BLK
28-02-2019,240.94,242.11,239.56,239.75,565899,BLK
01-03-2019,238.17,238.17,233.8,236.83,836198,BLK
04-03-2019,236.23,241.38,236,241.27,688723,BLK
05-03-2019,242.24,244.61,238.29,244.39,1033384,BLK
06-03-2019,245.77,250,245.77,249.57,1117735,BLK
07-03-2019,250.45,251.696,248.28,248.47,769440,BLK
08-03-2019,250.1,251.02,247.44,248.27,582146,BLK
11-03-2019,248.27,248.44,246.28,247.87,565160,BLK
12-03-2019,248.08,250.29,247.71,249.44,1014168,BLK
13-03-2019,250.34,254,249.5,253.7,776708,BLK
14-03-2019,254.89,257.77,254.11,256.04,967366,BLK
15-03-2019,255.07,256.8,254.261,256.74,982698,BLK
18-03-2019,254.11,256.53,253.43,255.25,449234,BLK
19-03-2019,255.08,256.36,250.69,253.18,565299,BLK
20-03-2019,255.25,259.5671,255.25,258.7,755049,BLK
21-03-2019,256.28,259.19,252.81,253,1039975,BLK
22-03-2019,253.52,254.52,252.12,253.13,692784,BLK
25-03-2019,255,257.33,251.44,251.82,853246,BLK
26-03-2019,252.8,258.68,252.0401,258.41,635899,BLK
27-03-2019,257.2,257.6,254.88,256.57,349838,BLK
28-03-2019,257.36,258.655,255.26,256.88,547640,BLK
01-04-2019,256.5,256.85,252.47,252.96,389573,BLK
02-04-2019,253.41,257.88,253.21,257.44,644169,BLK
03-04-2019,257.83,258,247.34,248.23,882527,BLK
04-04-2019,248.22,251.15,247.6,251.11,806887,BLK
05-04-2019,247.23,248,241.04,245.79,1332520,BLK
08-04-2019,245.47,249.41,244.1,249.38,470278,BLK
09-04-2019,251.91,255.56,249.72,254.04,760301,BLK
10-04-2019,255.43,260.78,254.96,260.77,657298,BLK
11-04-2019,261.35,265.57,261.35,264.14,735726,BLK
12-04-2019,262.95,264.985,262.1,263.13,422062,BLK
15-04-2019,260,262.46,253.78,253.86,939654,BLK
16-04-2019,257.77,257.9,251.48,257.22,1039833,BLK
17-04-2019,254.55,255.4299,249.02,251.03,864552,BLK
18-04-2019,251.01,251.18,243.58,245.3,1012457,BLK
19-04-2019,246.46,250.46,246.12,250.16,737419,BLK
22-04-2019,251.24,251.58,247.38,250.51,605540,BLK
23-04-2019,252.5,259.97,251.94,259.48,985424,BLK
24-04-2019,259.94,260.73,257.67,258.67,574399,BLK
25-04-2019,259.87,264.33,259.26,263.57,755865,BLK
26-04-2019,262.61,264.62,262.2,263.77,481149,BLK
29-04-2019,264.16,268.74,263.32,268.21,608006,BLK
30-04-2019,268.46,269.81,265.78,266.5,950547,BLK
01-05-2019,265.38,266.4995,260.69,260.94,793306,BLK
02-05-2019,261.69,263.41,260.98,262.35,670708,BLK
03-05-2019,265.68,271.595,265.14,271.34,835396,BLK
06-05-2019,271.55,275.21,270.241,274.35,659314,BLK
07-05-2019,274.54,275.815,272.41,275.55,431737,BLK
08-05-2019,275.35,277.37,268.03,277.25,495520,BLK
09-05-2019,274.73,278.82,272.43,275.8,891604,BLK
10-05-2019,276.24,277.46,275.21,276.67,555852,BLK
13-05-2019,275.76,281,275.415,279.39,465981,BLK
14-05-2019,280,284.979,280,284.45,573336,BLK
15-05-2019,283.98,289.41,283,289.29,695321,BLK
16-05-2019,288.44,290.83,284.755,285.41,607621,BLK
17-05-2019,287.1,291.209,286.7,290.95,567006,BLK
20-05-2019,289.1,291.825,287.06,289.25,551989,BLK
21-05-2019,290.6,293.31,288.94,291.69,737423,BLK
22-05-2019,291.66,298.14,282.91,285.33,1172184,BLK
23-05-2019,280.85,283.69,277.447,282.8,747987,BLK
24-05-2019,279.88,283.54,279.8,283.35,417426,BLK
28-05-2019,285.42,292.29,285.14,288.32,564174,BLK
29-05-2019,286.31,288.86,282.77,283.64,749516,BLK
30-05-2019,282.5,286.676,281.3,284.98,781861,BLK
31-05-2019,283.71,285.99,279.12,279.2,812794,BLK
03-06-2019,279.94,279.95,273.03,278.33,774769,BLK
04-06-2019,278.73,281.58,274.69,276.28,718980,BLK
05-06-2019,275.9,277.78,263.11,266.97,1305860,BLK
06-06-2019,265.39,269.23,260.52,268.99,1409330,BLK
07-06-2019,272.99,280.69,269.77,280.23,899128,BLK
10-06-2019,279.05,282.91,276.414,281.34,695217,BLK
11-06-2019,279.39,279.73,275.17,276.2,643994,BLK
12-06-2019,278.37,279.999,268.53,269.04,866564,BLK
13-06-2019,268.78,272.7,264.71,272.43,1162636,BLK
14-06-2019,272.36,273.7,268.05,269.73,761601,BLK
17-06-2019,272.56,278.08,271,275.99,762654,BLK
18-06-2019,277.38,279.33,274.77,276.49,506428,BLK
19-06-2019,276.89,278.2099,268.23,268.46,832063,BLK
20-06-2019,264.72,265.92,250.55,252.01,2373379,BLK
21-06-2019,258.51,258.65,241.99,248.67,2622578,BLK
24-06-2019,246.39,248.3,240.6,245.63,1564392,BLK
25-06-2019,249.61,253.87,247.65,252.58,1258714,BLK
26-06-2019,252.33,259.4,252.33,258.04,1028320,BLK
27-06-2019,257.35,265.5,257.35,264.06,1042380,BLK
28-06-2019,263.88,263.88,256.23,256.85,1407026,BLK
01-07-2019,257.61,261.6,255.81,256.11,835772,BLK
02-07-2019,255.91,259.4,254.71,256.82,483370,BLK
03-07-2019,254.49,257.2199,253,255.26,248215,BLK
05-07-2019,257.82,258.94,253.38,257.26,596218,BLK
