date,open,high,low,close,volume,Name
08-02-2019,36.5,37.03,36.49,37.03,8462351,BMY
11-02-2019,36.85,37.08,36.8,36.93,5318733,BMY
12-02-2019,36.91,36.96,36.52,36.52,6694758,BMY
13-02-2019,36.49,36.53,36.03,36.12,11953431,BMY
14-02-2019,36.06,36.7,36.04,36.58,7408473,BMY
15-02-2019,36.69,36.83,36.48,36.58,7042218,BMY
19-02-2019,36.58,36.98,36.575,36.94,5517286,BMY
20-02-2019,36.85,36.99,36.67,36.69,5774621,BMY
21-02-2019,36.61,36.78,36.51,36.69,7063247,BMY
22-02-2019,36.71,36.97,36.71,36.9,5027741,BMY
25-02-2019,36.98,37.09,36.34,36.34,7779208,BMY
26-02-2019,36.54,36.78,36.32,36.39,6692239,BMY
27-02-2019,36.42,37.22,36.31,37.1,7370021,BMY
28-02-2019,37.07,37.15,36.75,36.97,9328804,BMY
01-03-2019,36.89,37.25,36.785,37.15,9751514,BMY
04-03-2019,36.43,36.95,36.43,36.94,7199737,BMY
05-03-2019,37,37.6,37,37.57,7649907,BMY
06-03-2019,37.61,37.85,37.49,37.76,7229606,BMY
07-03-2019,37.78,37.81,37.51,37.53,7641963,BMY
08-03-2019,37.55,37.65,37.3,37.4,10461169,BMY
11-03-2019,37.29,37.66,37.26,37.52,6715191,BMY
12-03-2019,37.53,38.22,37.53,38.22,10266921,BMY
13-03-2019,38.16,38.57,37.96,38.49,9564424,BMY
14-03-2019,38.5,38.61,38.13,38.48,12371833,BMY
15-03-2019,38.47,38.98,38.26,38.96,13220684,BMY
18-03-2019,38.44,39.13,38.41,38.88,9022814,BMY
19-03-2019,38.935,39.41,38.85,39.34,9644108,BMY
20-03-2019,39.49,39.96,39.38,39.87,12524337,BMY
21-03-2019,39.81,39.9,39.68,39.71,8723522,BMY
22-03-2019,39.94,40.48,39.8,40.39,25808804,BMY
25-03-2019,40.46,40.46,39.992,40.26,26233691,BMY
26-03-2019,40.3,40.74,40.15,40.68,6776559,BMY
27-03-2019,40.49,40.835,40.36,40.78,5791773,BMY
28-03-2019,40.95,41.25,40.81,41.19,10846339,BMY
01-04-2019,41.12,41.36,40.93,41.14,6613467,BMY
02-04-2019,41.18,41.79,41.165,41.68,9125711,BMY
03-04-2019,41.22,41.37,40.95,41.07,12053575,BMY
04-04-2019,40.96,41.21,40.66,40.78,8596903,BMY
05-04-2019,40.22,40.76,40.05,40.61,6491957,BMY
08-04-2019,40.52,40.74,40.14,40.73,7201589,BMY
09-04-2019,40.7,41,40.67,40.83,8661257,BMY
10-04-2019,40.84,41.22,40.68,41.19,7596144,BMY
11-04-2019,41.27,41.455,41.06,41.3,6928514,BMY
12-04-2019,41.03,41.5,41.02,41.42,7196329,BMY
15-04-2019,41.36,41.5,40.7,40.75,8976659,BMY
16-04-2019,41.08,41.1,40.56,41.06,9873677,BMY
17-04-2019,40.88,41.11,40.53,40.81,8612596,BMY
18-04-2019,40.72,40.83,40.31,40.55,8496752,BMY
19-04-2019,40.71,41.255,40.52,41.15,8203972,BMY
22-04-2019,41.17,42,40.95,41.93,10883282,BMY
23-04-2019,42.22,42.87,42,42.3,8795469,BMY
24-04-2019,42.26,42.28,41.39,41.45,6816737,BMY
25-04-2019,40.82,40.91,40.03,40.22,13823970,BMY
29-04-2019,40.13,40.28,39.81,39.91,6719881,BMY
30-04-2019,39.83,39.83,39.18,39.72,11858215,BMY
01-05-2019,39.47,39.83,39.18,39.72,9960171,BMY
02-05-2019,39.835,40.03,39.67,40.01,8235787,BMY
03-05-2019,40.35,40.385,40.06,40.2,6153853,BMY
06-05-2019,40.12,40.16,39.85,40.02,5827165,BMY
07-05-2019,40.18,40.2,39.65,40.02,8143393,BMY
08-05-2019,40.06,40.19,39.56,39.68,7668268,BMY
09-05-2019,39.71,40,39.32,39.93,7654539,BMY
10-05-2019,40.06,40.49,39.94,40.49,7648692,BMY
13-05-2019,40.4,40.96,40.26,40.94,7301069,BMY
14-05-2019,41.4554,42.32,40.95,42.21,16785247,BMY
